"","team1","team2","winner","season","team1_seed","team2_seed"
"306","Arizona","Wisconsin","Wisconsin",2000,1,8
"307","Texas","LSU","LSU",2000,5,4
"308","Purdue","Oklahoma","Purdue",2000,6,3
"309","Gonzaga","St. John's (NY)","Gonzaga",2000,10,2
"310","Wisconsin","LSU","Wisconsin",2000,8,4
"311","Purdue","Gonzaga","Purdue",2000,6,10
"312","Wisconsin","Purdue","Wisconsin",2000,8,6
"313","Michigan State","Wisconsin","Michigan State",2000,1,8
"314","UNC","Florida","UNC",2000,8,5
"315","Michigan State","Florida","Michigan State",2000,1,5
"316","Illinois","Northwestern State","Illinois",2001,1,16
"317","Tennessee","Charlotte","Charlotte",2001,8,9
"318","Syracuse","Hawaii","Syracuse",2001,5,12
"319","Kansas","Cal State Northridge","Kansas",2001,4,13
"320","Notre Dame","Xavier","Notre Dame",2001,6,11
"321","Ole Miss","Iona","Ole Miss",2001,3,14
"322","Wake Forest","Butler","Butler",2001,7,10
"323","Arizona","Eastern Illinois","Arizona",2001,2,15
"324","Illinois","Charlotte","Illinois",2001,1,9
"325","Syracuse","Kansas","Kansas",2001,5,4
"326","Notre Dame","Ole Miss","Ole Miss",2001,6,3
"327","Butler","Arizona","Arizona",2001,10,2
"328","Illinois","Kansas","Illinois",2001,1,4
"329","Ole Miss","Arizona","Arizona",2001,3,2
"330","Illinois","Arizona","Arizona",2001,1,2
"331","Duke","Monmouth","Duke",2001,1,16
"332","Georgia","Missouri","Missouri",2001,8,9
"333","Ohio State","Utah State","Utah State",2001,5,12
"334","UCLA","Hofstra","UCLA",2001,4,13
"335","USC","Oklahoma State","USC",2001,6,11
"336","Boston College","Southern Utah","Boston College",2001,3,14
"337","Iowa","Creighton","Iowa",2001,7,10
"338","Kentucky","Holy Cross","Kentucky",2001,2,15
"339","Duke","Missouri","Duke",2001,1,9
"340","Utah State","UCLA","UCLA",2001,12,4
"341","USC","Boston College","USC",2001,6,3
"342","Iowa","Kentucky","Kentucky",2001,7,2
"343","Duke","UCLA","Duke",2001,1,4
"344","USC","Kentucky","USC",2001,6,2
"345","Duke","USC","Duke",2001,1,6
"346","Michigan State","Alabama State","Michigan State",2001,1,16
"347","California","Fresno State","Fresno State",2001,8,9
"348","Virginia","Gonzaga","Gonzaga",2001,5,12
"349","Oklahoma","Indiana State","Indiana State",2001,4,13
"350","Texas","Temple","Temple",2001,6,11
"351","Florida","Western Kentucky","Florida",2001,3,14
"352","Penn State","Providence","Penn State",2001,7,10
"353","UNC","Princeton","UNC",2001,2,15
"354","Michigan State","Fresno State","Michigan State",2001,1,9
"355","Gonzaga","Indiana State","Gonzaga",2001,12,13
"356","Temple","Florida","Temple",2001,11,3
"357","Penn State","UNC","Penn State",2001,7,2
"358","Michigan State","Gonzaga","Michigan State",2001,1,12
"359","Temple","Penn State","Temple",2001,11,7
"360","Michigan State","Temple","Michigan State",2001,1,11
"361","Stanford","UNC Greensboro","Stanford",2001,1,16
"362","Georgia Tech","St. Joseph's","St. Joseph's",2001,8,9
"363","Cincinnati","BYU","Cincinnati",2001,5,12
"364","Indiana","Kent State","Kent State",2001,4,13
"365","Wisconsin","Georgia State","Georgia State",2001,6,11
"366","Maryland","George Mason","Maryland",2001,3,14
"367","Arkansas","Georgetown","Georgetown",2001,7,10
"368","Iowa State","Hampton","Hampton",2001,2,15
"369","Stanford","St. Joseph's","Stanford",2001,1,9
"370","Cincinnati","Kent State","Cincinnati",2001,5,13
"371","Georgia State","Maryland","Maryland",2001,11,3
"372","Georgetown","Hampton","Georgetown",2001,10,15
"373","Stanford","Cincinnati","Stanford",2001,1,5
"374","Maryland","Georgetown","Maryland",2001,3,10
